codfonte;codtce;codstnnovo;codstnantigo;descricao;finalidade
1;100;1500;NADA FAZER;RECURSOS NÃO VINCULADOS DE IMPOSTOS;Recursos de impostos e transferências de impostos de livre aplicação.
100;100;1500;NADA FAZER;RECURSOS NÃO VINCULADOS DE IMPOSTOS;Recursos de impostos e transferências de impostos de livre aplicação.
101;101;1500;NADA FAZER;REC. DE IMPOSTOS E TRANSF VINC. À EDUCAÇÃO;Recursos provenientes dos impostos municipais, os quais devem ser classificados no código de receita 1110.00.00 (Impostos), e as transferências de impostos do Estado e União aos Municípios, destinados à educação.
102;102;1500;NADA FAZER;REC. DE IMPOSTOS E TRANSF. VINC. À SAÚDE;Recursos provenientes dos impostos municipais, os quais devem ser classificados no código de receita 1110.00.00 (Impostos), e as transferências de impostos do Estado e União aos Municípios, destinados à saúde.
103;103;1800;NADA FAZER;REC. VINC. AO RPPS FUNDO EM CAPITALIZAÇÃO;Controle dos recursos vinculados ao fundo em capitalização do RPPS. Esse plano existe tanto nos entes que segregaram quanto nos que não segregaram a massa dos segurados, observando-se o disposto na Portaria MF nº 464/2018.
104;104;1801;NADA FAZER;REC. VINC. AO RPPS FUNDO EM CAPITALIZAÇÃO;Controle dos recursos vinculados ao fundo em repartição do RPPS. Esse plano deve existir somente nos entes que segregaram a massa dos segurados, observando-se o disposto na Portaria MF nº 464/2018.
105;105;1802;NADA FAZER;TAXA DE ADMINISTRAÇÃO DO RPPS.;Recursos provenientes da Taxa de Administração, estabelecida em lei, em até dois pontos percentuais do valor total das remunerações, proventos e pensões dos segurados vinculados ao RPPS, relativo ao exercício financeiro anterior, para cobertura das despesas do RPPS, conforme disposto no art. 15 da Portaria MPS n° 402, de 10 de dezembro de 2008.
106;106;1599;NADA FAZER;TRANSFERÊNCIAS DE RECURSOS PARA O PTE;Recursos de transferências do Estado, de forma direta, para o transporte de estudantes residentes em zonas rurais.
107;107;1544;NADA FAZER;PRECATÓRIOS DO FUNDEF;Recursos de transferências da União em decorrência de decisão judicial que versem sobre diferenças na complementação, devida pela União, no âmbito do Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério - FUNDEF, pagas por meio de precatórios.
108;108;1708;NADA FAZER;COMPENSAÇÃO FINAN. DE REC. MINERAIS(CFEM);Recursos provenientes de compensação financeira pela exploração de recursos minerais estabelecida pela Lei n° 7.990, de 28/12/1989.
112;112;1659;NADA FAZER;SERVIÇOS DE SAÚDE;Recursos provenientes da receita da remuneração por serviços produzidos, decorrentes da prestação de serviços de saúde, hospitalares, gerais ou especializados, maternidade, centro de reabilitação, assistência médico-odontológica (inclusive ambulatorial), saúde pública etc. Esta classificação contempla ainda os recursos do Sistema Único de Saúde (SUS) pagos diretamente pela União aos prestadores do serviço de saúde.
113;113;1599;NADA FAZER;SERVIÇOS EDUCACIONAIS;Recursos provenientes da arrecadação de receitas auferidas pelas atividades do sistema educacional, cuja natureza esteja diretamente relacionada à formação do educando (matrículas, anuidades etc.). As receitas de atividades auxiliares, de apoio ou derivadas dos serviços educacionais propriamente ditos, devem ser classificadas nos títulos apropriados. Exemplos: matrículas e anuidades, serviços educacionais, serviço de credenciamento, autorização e reconhecimento de cursos, tarifas de expedição de documentos, fotocópias, cópias heliográficas etc.
116;116;1750;NADA FAZER;CONTRIB. DE INTERV. DO DOMÍNIO ECO. (CIDE);Recursos provenientes das receitas recebidas pelos Municípios através de transferências constitucionais da contribuição de intervenção no domínio econômico (Emenda Constitucional n° 42, de 19/12/2003).
117;117;1751;NADA FAZER;CONTRIB. CUSTEIO SERV. ILUMI. PUB. (COSIP);Recursos provenientes da arrecadação das contribuições para o custeio dos serviços de iluminação pública nos Municípios, nos termos do art. 149-A da Constituição da República, com redação dada pela Emenda Constitucional n° 39, de 19/12/2002.
118;118;1540;NADA FAZER;TRANSFERÊNCIAS DO FUNDEB - 70%;Recursos provenientes de transferências recebidas diretamente do FUNDEB pelos Municípios, independentemente do valor que foi deduzido no ente para a formação do fundo, destinadas à aplicação na remuneração dos profissionais do magistério da educação básica, em efetivo exercício.
119;119;1540;NADA FAZER;TRANSFERÊNCIAS DO FUNDEB - 30%;Recursos provenientes de transferências recebidas diretamente do FUNDEB pelos Municípios, independentemente do valor que foi deduzido no ente para a formação do fundo, destinados a custear despesas com a educação básica, não relacionadas no item anterior.
120;120;1576;NADA FAZER;TRANSF. DE REC. EST. PROGRAMAS EDUCAÇÃO;Controle dos recursos transferidos pelos Estados para programas de educação, que não decorram de celebração de convênios, contratos de repasse e termos de parceria.
