CONTA;TÍTULO;FUNÇÃO;NATUREZA DO SALDO ;EXEERCÍCIO DO STATUS INATIVA;INDICADOR DO SUPERÁVIT FINANCEIRO ;Nº REGISTRO OBRIG. ;ATRIBUTO OBRIG. - Inclusão (I), Exclusão (E) ou Alteração (A);EXERCÍCIO DA ATUALIZAÇÃO DO ATRIBUTO OBRIGATÓRIO;SISTEMA;DETLAHMENTO SISTEMA;MSC;CONTA CORRENTE;Reduzido;ANALITICA
1111151;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA- RPPS - FUNDO EM REPARTIÇÃO;Registra as aplicações financeiras de alta liquidez em moeda nacional dos Regimes Próprios de Previdência Social , advindas de recursos do Fundo em Repartição, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.;D;;F;17;;;;;;;;N
1111152;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA - RPPS - TAXA DE ADMINISTRAÇÃO;Registra as aplicações financeiras de alta liquidez em moeda nacional dos Regimes Próprios de Previdência Social , advindas de recursos da Taxa de Administração, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.;D;;F;17;;;;;;;;N
1111153;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA- RPPS - FUNDO EM CAPITALIZAÇÃO;Registra as aplicações financeiras de alta liquidez em moeda nacional dos Regimes Próprios de Previdência Social , advindas de recursos do Fundo em Capitalização, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.;D;;F;17;;;;;;;;N
1113;CAIXA E EQUIVALENTES DE CAIXA - VALORES RESTITUÍVEIS E VINCULADOS;Compreende o somatórios dos valores em Caixa e Equivalentes de Caixa, quando a entidade do setor público for fiel depositária de recursos oriundos de terceiros ou retenções em nome deles.;D;;;;;;;;;;;N
11131;DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - CONSOLIDAÇÃO;Compreende o somatórios dos valores em Caixa e Equivalentes de Caixa, quando a entidade do setor público for fiel depositária de recursos oriundos de terceiros ou retenções em nome deles. Compreende os saldos que serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).;D;;;;;;;;;;;N
1113101;DEPÓSITOS CONSIGNADOS;Registra os valores recebidos em confiança ou em consignações, geralmente retidos em folha de pagamento de empregados ou servidores ou nos pagamentos referentes a compras de bens e serviços.;D;;F;17;;;;;;;;N
1113102;GARANTIAS;Registra o valor em Caixa e Equivalentes de Caixa referente à garantia do cumprimento de uma obrigação, que se efetiva com o oferecimento de bens ou recursos financeiros ou ainda retenções de um percentual do valor do contrato como garantia de cumprimento do mesmo.;D;;F;17;;;;;;;;N
1113103;DEPÓSITOS JUDICIAIS;Registra o valor em Caixa e Equivalentes de Caixa, decorrentes de depósitos recebidos por determinação judicial e depósitos para recursos judiciais, passíveis de serem restituídos.;D;;F;17;;;;;;;;N
1113104;DEPÓSITOS NÃO JUDICIAIS;Registra o valor em Caixa e Equivalentes de Caixa decorrentes de depósitos recebidos, que devem ser restituídos. Exceto depósitos judiciais.;D;;F;17;;;;;;;;N
1113105;PRECATÓRIOS;Compreende o valor em Caixa e Equivalentes de Caixa dos valores do ente público depositados em conta especial para pagamento de precatórios.;D;;F;17;;;;;;;;N
1113106;OUTROS VALORES RESTITUÍVEIS;Registra os valores restituíveis em Caixa e Equivalentes de Caixa em posse da entidade, no papel de fiel depositária.;D;;F;17;;;;;;;;N
11132;VALORES RESTITUÍVEIS - INTRA OFSS;Compreende os valores em Caixa e Equivalentes de Caixade de terceiros ou retenções em nome deles, quando a entidade do setor público for fiel depositaria, exigíveis no curto prazo. Compreende os saldos INTRA que serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).. Definições de CEC 4a, reunião Extraordinária de 2021- CTCONF.;D;;;;;;;;;;;N
1113201;CONSIGNAÇÕES;Compreende o valor em Caixa e Equivalentes de Caixa recebido em confiança ou em consignações, geralmente retidos em folha de pagamento de empregados ou servidores ou nos pagamentos referentes a compras de bens e serviços INTRA OFSS.;D;;;;;;;;;;;N
111320101;RPPS - RETENÇÕES SOBRE VENCIMENTOS E VANTAGENS;Registra o valor em Caixa e Equivalentes de Caixa das retenções efetuadas em pagamentos a servidores a ser recolhido ao RPPS do servidor.;D;;F;17;;;;;;;;N
111320102;OUTRAS CONSIGNAÇÕES;Registra o valor em Caixa e Equivalentes de Caixa recebido em confiança ou em consignações não classificados em itens anteriores.;D;;F;17;;;;;;;;N
11133;VALORES RESTITUÍVEIS - INTER OFSS - UNIÃO;Registra os valores em Caixa e Equivalentes de Caixa de terceiros ou retenções em nome deles, quando a entidade do setor público for fiel depositária, a serem restituídos. Compreende os saldos INTER OFSS - UNIÃO que serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).;D;;F;17;;;;;;;;N
11134;VALORES RESTITUÍVEIS - INTER OFSS - ESTADO;Registra os valores em Caixa e Equivalentes de Caixa de terceiros ou retenções em nome deles, quando a entidade do setor público for fiel depositaria, a serem restituídos. Compreende os saldos INTER OFSS - ESTADOS que serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).;D;;F;17;;;;;;;;N
11135;VALORES RESTITUÍVEIS - INTER OFSS - MUNICÍPIO;Registra os valores em Caixa e Equivalentes de Caixa de terceiros ou retenções em nome deles, quando a entidade do setor público for fiel depositaria, a serem restituídos. Compreende os saldos INTER OFSS - MUNICÍPIOS que serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).;D;;F;17;;;;;;;;N
112410705;EMPRÉSTIMOS A RECEBER - RPPS - FUNDO EM REPARTIÇÃO;Registra os créditos a receber provenientes de empréstimos concedidos por meio de recursos previdenciários.;D;;P;15;;;;;;;;N
112410706;FINANCIAMENTOS A RECEBER - RPPS - FUNDO EM REPARTIÇÃO;Registra os créditos a receber provenientes de financiamentos concedidos por meio de recursos previdenciários.;D;;P;15;;;;;;;;N
112410707;JUROS E ENCARGOS SOBRE EMPRÉSTIMOS A RECEBER - RPPS - FUNDO EM REPARTIÇÃO;Registra o somatório dos valores dos Juros e Encargos sobre empréstimos concedidos com recursos previdenciários.;D;;P;15;;;;;;;;N
112410708;JUROS E ENCARGOS SOBRE FINANCIAMENTOS A RECEBER - RPPS -FUNDO EM REPARTIÇÃO;Registra o somatório dos valores dos Juros e Encargos sobre financiamentos concedidos com recursos previdenciários.;D;;P;15;;;;;;;;N
112910701;(-) PERDAS ESTIMADAS EM EMPRÉSTIMOS E FINANCIAMENTOS CONCEDIDOS COM RECURSOS PREVIDENCIÁRIOS - PLANO EM CAPITALIZAÇÃO;Registra o ajuste para perdas estimadas com o não recebimento empréstimos e financiamentos concedidos com recursos previdenciários.;C;;P;15;;;;;;;;N
112910702;(-) PERDAS ESTIMADAS EM EMPRÉSTIMOS E FINANCIAMENTOS CONCEDIDOS COM RECURSOS PREVIDENCIÁRIOS - PLANO EM REPARTIÇÃO;Registra o ajuste para perdas estimadas com o não recebimento empréstimos e financiamentos concedidos com recursos previdenciários.;C;;P;15;;;;;;;;N
1136204;APORTE PERIÓDICO;Registra os valores relativos aos créditos a receber, decorrentes de aportes periódicos para o RPPS.;D;;P;15;;;;;;;;N
1136205;CONTRIBUIÇÃO SUPLEMENTAR;Registra os valores relativos aos créditos a receber, decorrentes de contribuição suplementar para o RPPS.;D;;P;15;;;;;;;;N
1136206;COBERTURA DE INSUFICIÊNCIA FINANCEIRA;Registra os valores relativos aos créditos a receber para cobertura de insuficiência financeira do RPPS.;D;;P;15;;;;;;;;N
1136207;CONTRIBUIÇÃO EXTRAORDINÁRIA;Registra os valores relativos aos créditos a receber por contribuição extraordinária, para equacionamento do déficit atuarial, a serem cobradas dos servidores, inativos e pensionistas. (EC nº 103/19);D;;P;15;;;;;;;;N
1138132;CRÉDITOS A RECEBER SOBRE INDENIZAÇÃO DE SEGUROS;Registra o crédito a receber decorrente de indenização de seguros.;D;;P;15;;;;;;;;N
1138217;CRÉDITOS A RECEBER DECORRENTES DE FOLHA DE PAGAMENTO;Registra os valores dos créditos a receber intra decorrentes de folha de pagamento.;D;;P/F;16;;;;;;;;N
1138299;OUTROS CRÉDITOS A RECEBER E VALORES DE CURTO PRAZO;Registra os valores de outros créditos a receber intra, para os quais não tenham contas especificas neste subgrupo de contas.;D;;P/F;16;;;;;;;;N
1144;INVESTIMENTOS E APLICAÇÕES TEMPORÁRIAS DE CURTO PRAZO - RPPS;Compreende as aplicações de recursos em títulos e valores mobiliários temporários, cujo objetivo precípuo não seja atender compromissos de caixa, mas sim, auferir rendimentos pelo capital investido, podendo inclusive estarem sujeitas a risco significativo de mudança de valor, resgatáveis no curto prazo.;D;;;;;;;;;;;N
11441;INVESTIMENTOS E APLICAÇÕES TEMPORÁRIAS DE CURTO PRAZO DO RPPS - CONSOLIDAÇÃO;Compreende as aplicações de recursos em títulos e valores mobiliários temporários, cujo objetivo precípuo não seja atender compromissos de caixa, mas sim, auferir rendimentos pelo capital investido, podendo inclusive estarem sujeitas a risco significativo de mudança de valor, resgatáveis em até 12 (doze) meses da data das demonstrações. Compreende os saldos que não serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).;D;;;;;;;;;;;N
1144101;APLICAÇÕES EM SEGMENTO DE RENDA FIXA - RPPS - PLANO EM CAPITALIZAÇÃO;Compreende o somatório dos investimentos realizados pelo RPPS com recursos previdenciários, vinculados ao plano em capitalização, em fundos e ativos de renda fixa. Em conformidade com o art. 7º, da Resolução CMN nº 3.922/2010.;D;;;;;;;;;;;N
114410101;TÍTULOS PÚBLICOS DE EMISSÃO DO TESOURO NACIONAL;"Registra os investimentos realizados pelo RPPS em títulos de emissão do Tesouro Nacional, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 7º, Inciso ""I"",  Alínea ""a"".";D;;P/F;17;;;;;;;;N
114410102;FUNDOS DE INVESTIMENTO QUE APLICAM EXCLUSIVAMENTE EM TÍTULOS DE EMISSÃO DO TESOURO NACIONAL OU COMPROMISSADAS LASTREADAS NESSES TÍTULOS;"Registra os investimentos realizados pelo RPPS, em fundos de investimentos em títulos do tesouro, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 7º, Inciso ""I"",  Alínea ""b"".";D;;P/F;17;;;;;;;;N
114410103;FUNDOS DE INVESTIMENTO EM ÍNDICE DE MERCADO DE RENDA FIXA;"Registra os investimentos realizados pelo RPPS, em ETF renda fixa, efetuados em conformidade com a Resolução CMN n° 3.922/2010 - arts. 7º, I, ""c"" e 7º, III, ""b"".";D;;P/F;17;;;;;;;;N
114410104;OPERAÇÕES COMPROMISSADAS LASTREADAS EM TÍTULOS PÚBLICOS DE EMISSÃO DO TESOURO NACIONAL;"Registra os investimentos realizados pelo RPPS, em operações compromissadas, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 7º, Inciso ""II"".";D;;P/F;17;;;;;;;;N
114410105;FUNDOS DE INVESTIMENTO EM RENDA FIXA;"Registra os investimentos realizados pelos RPPS em fundos de investimentos em renda fixa, efetuados em conformidade com a Resolução CMN n° 3.922/2010 (alterada pela Resolução CMN nº 4.392/2014), Art. 7º, Inciso ""III"",  Alínea ""a"".";D;;P/F;17;;;;;;;;N
114410106;ATIVOS FINANCEIROS DE RENDA FIXA DE EMISSÃO COM OBRIGAÇÃO OU COOBRIGAÇÃO DE INSTITUIÇÃO FINANCEIRA BANCÁRIA;Registra os investimentos realizados pelo RPPS em ativos financeiros emitidos por instituições financeiras bancárias, em conformidade com o inciso V, da Resolução CMN nº 3.922/2010.;D;;P/F;17;;;;;;;;N
114410107;FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;"Registra os investimentos realizados pelo RPPS em fundos de investimentos em direito creditório, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Inciso ""VII"",  Alínea ""a"".";D;;P/F;17;;;;;;;;N
114410108;"FUNDOS DE INVESTIMENTO EM RENDA FIXA COM SUFIXO ""CRÉDITO PRIVADO""";"Registra os investimentos realizados pelos RPPS em fundos de investimentos em renda fixa - crédito privado, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 7º, Inciso ""VII"",  Alínea ""b"".";D;;P/F;17;;;;;;;;N
114410109;FUNDOS DE INVESTIMENTO DE DEBÊNTURES DE INFRAESTUTURA;"Registra os investimentos realizados pelo RPPS em fundos de investimentos de debêntures de infraestrutura, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Artigo 7º, Inciso ""VII"",  Alínea ""c"".";D;;P/F;17;;;;;;;;N
1144102;APLICAÇÕES EM SEGMENTO DE RENDA VARIAVEL - RPPS - PLANO EM CAPITALIZAÇÃO;Compreende o somatório dos investimentos realizados pelo RPPS com recursos previdenciários, vinculados ao plano em capitalização, em fundos de ações. Em conformidade com o art. 8º, da Resolução CMN nº 3.922/2010.;D;;;;;;;;;;;N
114410201;FUNDOS DE INVESTIMENTO EM AÇÕES;"Registra os investimentos realizados pelo RPPS em fundos de investimentos referenciados, renda variável, efetuados em conformidade com a Resolução CMN n° 3.922/2010 - Art. 8º, Inciso ""I"".";D;;P/F;17;;;;;;;;N
114410202;FUNDOS DE INVESTIMENTO EM ÍNDICE DE MERCADO DE RENDA VARIÁVEL;"Registra os investimentos realizados pelo RPPS em fundos de investimentos referenciados, renda variável, efetuados em conformidade com a Resolução CMN n° 3.922/2010 - Art. 8º, Inciso ""II"".";D;;P/F;17;;;;;;;;N
1144103;APLICAÇÕES DO RPPS EM FUNDOS DE INVESTIMENTO NO EXTERIOR - PLANO EM CAPITALIZAÇÃO;Compreende o somatório dos investimentos realizados pelo RPPS com recursos previdenciários,vinculados ao plano em capitalização, em fundos no exterior. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 9º-A.;D;;;;;;;;;;;N
114410301;"FUNDO DE INVESTIMENTO - ""RENDA FIXA - DÍVIDA EXTERNA""";"Registra os investimentos realizados pelo RPPS em Fundos de Renda Fixa - Devida Externa. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 9º-A, Inciso ""I"".";D;;P/F;17;;;;;;;;N
114410302;"FUNDO DE INVESTIMENTO - SUFIXO ""INVESTIMENTO NO EXTERIOR""";"Registra os investimentos realizados pelo RPPS em Fundos de Investimento - Sufixo Investimento no Exterior. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 9º-A, Inciso ""II"".";D;;P/F;17;;;;;;;;N
114410303;"FUNDOS DE INVESTIMENTO DA CLASSE ""AÇÕES - BDR NÍVEL I""";"Registra os investimentos realizados pelo RPPS em Fundos de Ações BDR Nível 1. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 9º-A, Inciso ""III"".";D;;P/F;17;;;;;;;;N
1144104;APLICAÇÕES EM FUNDOS DE INVESTIMENTO ESTRUTURADOS - RPPS - PLANO EM CAPITALIZAÇÃO;Compreende o somatório dos investimentos realizados pelo RPPS com recursos previdenciários, vinculados ao plano em capitalização, em fundos estruturados. Em conformidade com a Resolução CMN nº 3.922/2010, Art. 8º.;D;;;;;;;;;;;N
114410401;FUNDOS DE INVESTIMENTO MULTIMERCADO;"Registra os investimentos realizados pelo RPPS em fundo de investimentos multimercado, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 8º, Inciso ""III"".";D;;P/F;17;;;;;;;;N
114410402;FUNDOS DE INVESTIMENTOS EM PARTICIPAÇÕES;"Registra os investimentos realizados pelo RPPS em fundo de investimentos multimercado, efetuados em conformidade com a Resolução CMN n° 3.922/2010, Art. 8º, Inciso ""IV"", alínea ""a""";D;;P/F;17;;;;;;;;N
114410403;"FUNDOS DE INVESTIMENTO - ""AÇÕES - MERCADO DE ACESSO""";"Registra os investimentos realizados pelo RPPS em fundo de investimentos multimercado, efetuados em conformidade com as Resolução CMN n° 3.922/2010, Art. 8º, Inciso ""IV"", alínea ""c"".";D;;P/F;17;;;;;;;;N
